username,repo_name,stars,repo_url
public-apis,public-apis,311000,https://github.com/public-apis/public-apis
neovim,neovim,81100,https://github.com/neovim/neovim
fastapi,fastapi,75000,https://github.com/fastapi/fastapi
hoppscotch,hoppscotch,63400,https://github.com/hoppscotch/hoppscotch
strapi,strapi,62500,https://github.com/strapi/strapi
ocornut,imgui,59100,https://github.com/ocornut/imgui
slatedocs,slate,36000,https://github.com/slatedocs/slate
QuivrHQ,quivr,35700,https://github.com/QuivrHQ/quivr
Kong,insomnia,34200,https://github.com/Kong/insomnia
trpc,trpc,34100,https://github.com/trpc/trpc
httpie,cli,33200,https://github.com/httpie/cli
ccxt,ccxt,32299,https://github.com/ccxt/ccxt
hasura,graphql-engine,31000,https://github.com/hasura/graphql-engine
Binaryify,NeteaseCloudMusicApi,30300,https://github.com/Binaryify/NeteaseCloudMusicApi
encode,django-rest-framework,28100,https://github.com/encode/django-rest-framework
YMFE,yapi,27300,https://github.com/YMFE/yapi
directus,directus,26900,https://github.com/directus/directus
littlecodersh,ItChat,25400,https://github.com/littlecodersh/ItChat
PostgREST,postgrest,23100,https://github.com/PostgREST/postgrest
mudler,LocalAI,22800,https://github.com/mudler/LocalAI
