username,repo_name,stars,repo_url
ccxt,ccxt,32299,https://github.com/ccxt/ccxt
python-telegram-bot,python-telegram-bot,25700,https://github.com/python-telegram-bot/python-telegram-bot
discordjs,discord.js,25200,https://github.com/discordjs/discord.js
wechaty,wechaty,19900,https://github.com/wechaty/wechaty
RasaHQ,rasa,18500,https://github.com/RasaHQ/rasa
InstaPy,InstaPy,16700,https://github.com/InstaPy/InstaPy
hubotio,hubot,16600,https://github.com/hubotio/hubot
leon-ai,leon,15200,https://github.com/leon-ai/leon
pedroslopez,whatsapp-web.js,14900,https://github.com/pedroslopez/whatsapp-web.js
Rapptz,discord.py,14700,https://github.com/Rapptz/discord.py
tgbot-collection,YYeTsBot,14100,https://github.com/tgbot-collection/YYeTsBot
gunthercox,ChatterBot,14000,https://github.com/gunthercox/ChatterBot
lss233,chatgpt-mirai-qq-bot,12900,https://github.com/lss233/chatgpt-mirai-qq-bot
howdyai,botkit,11400,https://github.com/howdyai/botkit
Mrs4s,go-cqhttp,10400,https://github.com/Mrs4s/go-cqhttp
sfyc23,EverydayWechat,10000,https://github.com/sfyc23/EverydayWechat
yagop,node-telegram-bot-api,8300,https://github.com/yagop/node-telegram-bot-api
telegraf,telegraf,8100,https://github.com/telegraf/telegraf
microsoft,ailab,7700,https://github.com/microsoft/ailab
microsoft,botframework-sdk,7500,https://github.com/microsoft/botframework-sdk
